epsilon = 1.0e-10
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_rgp2Ws.so
[0 - 7f3583f81780] {4}{threads}: reservation ('CPU proc 1d00000000000009') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 2.000000, 2.000000, 2.000000
           dx, dy, dz           = 0.031250, 0.031250, 0.031250
           Time stepping method = CONSTANT_TIME_STEP
           dt                   = 0.001000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
    71 |  7.1000e-02 |  1.0000e-03 |  1.4854e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    72 |  7.2000e-02 |  1.0000e-03 |  1.5151e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    73 |  7.3000e-02 |  1.0000e-03 |  1.5156e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    74 |  7.4000e-02 |  1.0000e-03 |  6.6667e-01 |  1.0371e+00 |  1.0000e+00 |  1.0000e+00
    75 |  7.5000e-02 |  1.0000e-03 |  1.4432e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    76 |  7.6000e-02 |  1.0000e-03 |  1.5580e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    77 |  7.7000e-02 |  1.0000e-03 |  1.4823e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    78 |  7.8000e-02 |  1.0000e-03 |  6.6667e-01 |  1.0122e+00 |  1.0000e+00 |  1.0000e+00
    79 |  7.9000e-02 |  1.0000e-03 |  6.6667e-01 |  1.0410e+00 |  1.0000e+00 |  1.0000e+00
    80 |  8.0000e-02 |  1.0000e-03 |  1.5627e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    81 |  8.1000e-02 |  1.0000e-03 |  1.5639e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    82 |  8.2000e-02 |  1.0000e-03 |  1.5206e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    83 |  8.3000e-02 |  1.0000e-03 |  1.5664e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    84 |  8.4000e-02 |  1.0000e-03 |  1.5219e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    85 |  8.5000e-02 |  1.0000e-03 |  1.5689e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    86 |  8.6000e-02 |  1.0000e-03 |  1.2878e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    87 |  8.7000e-02 |  1.0000e-03 |  1.4286e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    88 |  8.8000e-02 |  1.0000e-03 |  1.5727e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    89 |  8.9000e-02 |  1.0000e-03 |  1.2831e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    90 |  9.0000e-02 |  1.0000e-03 |  6.6667e-01 |  9.8271e-01 |  1.0000e+00 |  1.0000e+00
    91 |  9.1000e-02 |  1.0000e-03 |  1.4734e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    92 |  9.2000e-02 |  1.0000e-03 |  6.6667e-01 |  1.0519e+00 |  1.0000e+00 |  1.0000e+00
    93 |  9.3000e-02 |  1.0000e-03 |  1.5281e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    94 |  9.4000e-02 |  1.0000e-03 |  1.5805e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
