Taylor-Green Vortex
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_3DalcT.so
[0 - 7f7da8813780] {4}{threads}: reservation ('CPU proc 1d00000000000001') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 32, 32, 32
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.196350, 0.196350, 0.196350
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.300000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization
TKE, Enstrophy = 4096, 24576
  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
    78 |  1.1573e-01 |  1.4836e-03 |  3.7819e-02 |  1.6103e-04 | 2.2069e-312 |  1.0000e+00 |  1.0014e+00
    79 |  1.1721e-01 |  1.4836e-03 |  3.7823e-02 |  2.0690e-03 |  1.5928e-02 |  1.0000e+00 |  1.0014e+00
    80 |  1.1869e-01 |  1.4836e-03 |  3.6707e-04 | -1.0648e-02 | 7.9051e-323 |  1.0000e+00 |  1.0015e+00
    81 |  1.2018e-01 |  1.4836e-03 |  3.6711e-04 | -1.0662e-02 |  1.0000e+00 |  1.0000e+00 |  1.0015e+00
    82 |  1.2166e-01 |  1.4836e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0015e+00
    83 |  1.2314e-01 |  1.4836e-03 | 2.1220e-313 | 6.5782e-313 | 2.2069e-312 |  1.0000e+00 |  1.0016e+00
    84 |  1.2463e-01 |  1.4836e-03 |  0.0000e+00 |  3.3333e-01 |  1.5932e-02 |  1.0000e+00 |  1.0016e+00
    85 |  1.2611e-01 |  1.4836e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0017e+00
    86 |  1.2760e-01 |  1.4836e-03 |  0.0000e+00 |  5.0930e+00 |  3.5408e-03 |  1.0000e+00 |  1.0017e+00
    87 |  1.2908e-01 |  1.4836e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0017e+00
    88 |  1.3056e-01 |  1.4836e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0018e+00
    89 |  1.3205e-01 |  1.4836e-03 |  3.7855e-02 |  3.1618e-04 | 7.9051e-323 |  1.0000e+00 |  1.0018e+00
    90 |  1.3353e-01 |  1.4836e-03 | -1.2902e+01 | -9.9229e-01 |  1.0000e+00 |  1.0000e+00 |  1.0019e+00
    91 |  1.3501e-01 |  1.4836e-03 | 2.1220e-313 | 5.7294e-313 | 2.2069e-312 |  1.0000e+00 |  1.0019e+00
    92 |  1.3650e-01 |  1.4836e-03 | 2.1220e-313 | 6.1538e-313 | 2.2069e-312 |  1.0000e+00 |  1.0019e+00
    93 |  1.3798e-01 |  1.4836e-03 |  3.7260e-04 | -8.3575e-03 | -1.0658e-03 |  1.0000e+00 |  1.0020e+00
    94 |  1.3946e-01 |  1.4836e-03 | -0.0000e+00 |  5.0930e+00 | -1.7738e-02 |  1.0000e+00 |  1.0020e+00
    95 |  1.4095e-01 |  1.4836e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0021e+00
    96 |  1.4243e-01 |  1.4836e-03 |  3.6768e-04 | -1.0865e-02 |  1.0498e-01 |  1.0000e+00 |  1.0021e+00
    97 |  1.4392e-01 |  1.4836e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0022e+00
    98 |  1.4540e-01 |  1.4836e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0022e+00
    99 |  1.4688e-01 |  1.4836e-03 |  3.6749e-04 |  8.1242e-03 | 2.1644e-312 |  1.0000e+00 |  1.0023e+00
   100 |  1.4837e-01 |  1.4836e-03 |  1.2897e-04 |  2.5794e-04 |  5.0538e-05 |  1.0000e+00 |  1.0023e+00

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
-------|-------------|-------------|-------------|-------------|-------------|-------------|------------
   101 |  1.4985e-01 |  1.4836e-03 |  3.7913e-02 |  2.3850e-03 |  1.5768e+00 |  1.0000e+00 |  1.0023e+00
   102 |  1.5133e-01 |  1.4836e-03 |  0.0000e+00 |  5.0930e+00 |  2.6326e-03 |  1.0000e+00 |  1.0024e+00
   103 |  1.5282e-01 |  1.4836e-03 |  3.7909e-02 |  5.1354e-04 | 2.1644e-312 |  1.0000e+00 |  1.0024e+00
   104 |  1.5430e-01 |  1.4836e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0025e+00
   105 |  1.5578e-01 |  1.4836e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0025e+00
   106 |  1.5727e-01 |  1.4836e-03 |  0.0000e+00 |  3.3333e-01 |  2.0506e-03 |  1.0000e+00 |  1.0026e+00
   107 |  1.5875e-01 |  1.4836e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0026e+00
   108 |  1.6024e-01 |  1.4836e-03 |  3.5927e-06 | -9.8421e-02 | -1.1099e-04 |  1.0000e+00 |  1.0027e+00
   109 |  1.6172e-01 |  1.4836e-03 |  0.0000e+00 |  5.0930e+00 |  1.5604e-01 |  1.0000e+00 |  1.0027e+00
   110 |  1.6320e-01 |  1.4836e-03 |  6.6667e-01 |  1.0000e+00 | -7.8066e-03 |  1.0000e+00 |  1.0028e+00
   111 |  1.6469e-01 |  1.4836e-03 | 2.1220e-313 | 6.5782e-313 | 2.2069e-312 |  1.0000e+00 |  1.0028e+00
   112 |  1.6617e-01 |  1.4836e-03 |  3.7948e-02 |  6.4095e-04 | -2.0752e-04 |  1.0000e+00 |  1.0029e+00
   113 |  1.6765e-01 |  1.4836e-03 |  3.6805e-04 |  7.9177e-03 | 2.2069e-312 |  1.0000e+00 |  1.0029e+00
   114 |  1.6914e-01 |  1.4836e-03 | -1.2902e+01 | -9.9243e-01 |  1.0000e+00 |  1.0000e+00 |  1.0030e+00
   115 |  1.7062e-01 |  1.4836e-03 | -0.0000e+00 |  5.0930e+00 | -1.6022e-02 |  1.0000e+00 |  1.0030e+00
   116 |  1.7210e-01 |  1.4836e-03 |  3.6861e-04 | -1.1112e-02 |  1.2851e-02 |  1.0000e+00 |  1.0031e+00
   117 |  1.7359e-01 |  1.4836e-03 |  3.7995e-02 |  2.6168e-03 |  1.8817e-01 |  1.0000e+00 |  1.0032e+00
   118 |  1.7507e-01 |  1.4836e-03 |  6.6667e-01 |  1.0000e+00 | -1.4170e-04 |  1.0000e+00 |  1.0032e+00
   119 |  1.7656e-01 |  1.4836e-03 |  1.4836e-03 | -1.0564e+00 |  1.8817e-01 |  1.0000e+00 |  1.0033e+00
   120 |  1.7804e-01 |  1.4836e-03 |  0.0000e+00 |  5.0930e+00 |  1.1824e-03 |  1.0000e+00 |  1.0033e+00
   121 |  1.7952e-01 |  1.4836e-03 |  0.0000e+00 |  5.0930e+00 |  5.3977e-02 |  1.0000e+00 |  1.0034e+00
   122 |  1.8101e-01 |  1.4836e-03 |  0.0000e+00 |  3.3333e-01 |  1.5664e+00 |  1.0000e+00 |  1.0034e+00
   123 |  1.8249e-01 |  1.4836e-03 | -0.0000e+00 |  5.0930e+00 | -1.6060e-01 |  1.0000e+00 |  1.0035e+00
   124 |  1.8397e-01 |  1.4836e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0035e+00
   125 |  1.8546e-01 |  1.4836e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0036e+00
   126 |  1.8694e-01 |  1.4836e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0037e+00
   127 |  1.8842e-01 |  1.4836e-03 |  0.0000e+00 |  5.0930e+00 |  1.5639e+00 |  1.0000e+00 |  1.0037e+00
   128 |  1.8991e-01 |  1.4836e-03 | -0.0000e+00 |  5.0930e+00 | -1.8324e-02 |  1.0000e+00 |  1.0038e+00
   129 |  1.9139e-01 |  1.4836e-03 | -1.2878e+01 |  9.2031e-02 |  1.0000e+00 |  1.0000e+00 |  1.0038e+00
   130 |  1.9287e-01 |  1.4836e-03 | -2.9718e-04 | -4.2006e-06 | -2.9086e-04 |  1.0000e+00 |  1.0039e+00
   131 |  1.9436e-01 |  1.4836e-03 |  0.0000e+00 |  5.0930e+00 |  1.9143e-02 |  1.0000e+00 |  1.0040e+00
   132 |  1.9584e-01 |  1.4836e-03 | 3.4376e-312 | 3.6074e-312 | 2.2705e-312 |  1.0000e+00 |  1.0040e+00
   133 |  1.9733e-01 |  1.4836e-03 |  0.0000e+00 |  5.0930e+00 |  1.5452e-01 |  1.0000e+00 |  1.0041e+00
   134 |  1.9881e-01 |  1.4836e-03 | -9.4992e-03 |  8.8171e-04 | -9.7191e-04 |  1.0000e+00 |  1.0041e+00
   135 |  2.0029e-01 |  1.4836e-03 |  6.6667e-01 |  1.0000e+00 | -9.5769e-03 |  1.0000e+00 |  1.0042e+00
   136 |  2.0178e-01 |  1.4836e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0043e+00
   137 |  2.0326e-01 |  1.4836e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0043e+00
   138 |  2.0474e-01 |  1.4836e-03 |  0.0000e+00 |  5.0930e+00 |  1.5417e-01 |  1.0000e+00 |  1.0044e+00
   139 |  2.0623e-01 |  1.4836e-03 | 3.4376e-312 | 3.6074e-312 | 2.2705e-312 |  1.0000e+00 |  1.0045e+00
   140 |  2.0771e-01 |  1.4836e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0045e+00
   141 |  2.0919e-01 |  1.4836e-03 |  3.8142e-02 |  2.9739e-03 | 7.9051e-323 |  1.0000e+00 |  1.0046e+00
   142 |  2.1068e-01 |  1.4836e-03 | -1.2926e+01 |  1.0325e-01 |  1.0000e+00 |  1.0000e+00 |  1.0046e+00
   143 |  2.1216e-01 |  1.4836e-03 |  0.0000e+00 |  3.3333e-01 | -1.7210e+00 |  1.0000e+00 |  1.0047e+00
   144 |  2.1365e-01 |  1.4836e-03 |  3.6281e-06 | -9.8640e-02 |  1.0228e-02 |  1.0000e+00 |  1.0048e+00
   145 |  2.1513e-01 |  1.4836e-03 | 2.1220e-313 | 6.5782e-313 | 2.2069e-312 |  1.0000e+00 |  1.0048e+00
   146 |  2.1661e-01 |  1.4836e-03 |  3.8177e-02 |  3.0492e-03 |  1.0370e-02 |  1.0000e+00 |  1.0049e+00
   147 |  2.1810e-01 |  1.4836e-03 |  6.6667e-01 |  1.0000e+00 |  1.0441e-02 |  1.0000e+00 |  1.0050e+00
   148 |  2.1958e-01 |  1.4836e-03 |  0.0000e+00 |  3.3333e-01 | -1.6218e-02 |  1.0000e+00 |  1.0051e+00
   149 |  2.2106e-01 |  1.4836e-03 | 3.2679e-312 | 3.4376e-312 | 2.1644e-312 |  1.0000e+00 |  1.0051e+00
   150 |  2.2255e-01 |  1.4836e-03 |  0.0000e+00 |  3.3333e-01 | -3.2895e-03 |  1.0000e+00 |  1.0052e+00

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
-------|-------------|-------------|-------------|-------------|-------------|-------------|------------
