epsilon = 1.0e-10
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_lI8yNA.so
[0 - 7f88a92c7780] {4}{threads}: reservation ('CPU proc 1d0000000000000a') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.098175, 0.098175, 0.098175
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
   151 |  2.2401e-01 |  1.4835e-03 |  2.4512e-03 |  4.9023e-03 |  2.9852e-05 |  1.0000e+00
   152 |  2.2549e-01 |  1.4835e-03 |  4.9569e-01 |  9.9145e-01 |  5.5673e-10 |  1.0000e+00
   153 |  2.2697e-01 |  1.4835e-03 |  2.8779e-05 |  5.7558e-05 |  3.0702e-05 |  1.0000e+00
   154 |  2.2846e-01 |  1.4835e-03 |  6.6667e-01 |  1.0000e+00 |  5.5775e-03 |  1.0000e+00
   155 |  2.2994e-01 |  1.4835e-03 |  6.6667e-01 |  9.9992e-01 | -2.6432e-05 |  1.0000e+00
   156 |  2.3143e-01 |  1.4835e-03 |  6.6667e-01 |  1.0000e+00 | -5.6452e-03 |  1.0000e+00
   157 |  2.3291e-01 |  1.4835e-03 |  4.9548e-01 |  9.9104e-01 |  8.0646e-10 |  1.0000e+00
   158 |  2.3439e-01 |  1.4835e-03 |  2.4573e-03 |  4.9145e-03 |  3.2694e-05 |  1.0000e+00
   159 |  2.3588e-01 |  1.4835e-03 |  4.9539e-01 |  9.9087e-01 |  9.2588e-10 |  1.0000e+00
   160 |  2.3736e-01 |  1.4835e-03 |  2.4591e-03 |  4.9182e-03 |  3.3531e-05 |  1.0000e+00
   161 |  2.3884e-01 |  1.4835e-03 |  4.9530e-01 |  9.9068e-01 |  1.0578e-09 |  1.0000e+00
   162 |  2.4033e-01 |  1.4835e-03 |  3.1569e-05 |  6.3139e-05 |  3.4468e-05 |  1.0000e+00
   163 |  2.4181e-01 |  1.4835e-03 |  4.9520e-01 |  9.9049e-01 |  1.2032e-09 |  1.0000e+00
   164 |  2.4329e-01 |  1.4835e-03 |  2.4629e-03 |  4.9258e-03 |  3.5239e-05 |  1.0000e+00
   165 |  2.4478e-01 |  1.4835e-03 |  4.9510e-01 |  9.9029e-01 |  1.3626e-09 |  1.0000e+00
   166 |  2.4626e-01 |  1.4835e-03 |  2.4649e-03 |  4.9298e-03 |  3.6109e-05 |  1.0000e+00
   167 |  2.4774e-01 |  1.4835e-03 |  4.9500e-01 |  9.9009e-01 |  1.5364e-09 |  1.0000e+00
   168 |  2.4923e-01 |  1.4835e-03 |  4.9495e-01 |  9.8999e-01 |  1.6288e-09 |  1.0000e+00
   169 |  2.5071e-01 |  1.4835e-03 |  3.3859e-05 |  6.7719e-05 |  3.7567e-05 |  1.0000e+00
   170 |  2.5219e-01 |  1.4835e-03 |  2.4690e-03 |  4.9379e-03 |  3.7885e-05 |  1.0000e+00
   171 |  2.5368e-01 |  1.4835e-03 |  4.9478e-01 |  9.8967e-01 |  1.9283e-09 |  1.0000e+00
   172 |  2.5516e-01 |  1.4835e-03 |  2.4711e-03 |  4.9420e-03 |  3.8790e-05 |  1.0000e+00
   173 |  2.5664e-01 |  1.4835e-03 |  4.9467e-01 |  9.8945e-01 |  2.1477e-09 |  1.0000e+00
   174 |  2.5813e-01 |  1.4835e-03 |  2.4732e-03 |  4.9462e-03 |  3.9707e-05 |  1.0000e+00
   175 |  2.5961e-01 |  1.4835e-03 |  6.6667e-01 |  1.0000e+00 | -6.3379e-03 |  1.0000e+00
   176 |  2.6109e-01 |  1.4835e-03 |  6.6667e-01 |  9.9990e-01 | -5.0113e-05 |  1.0000e+00
   177 |  2.6258e-01 |  1.4835e-03 |  1.0784e-03 |  2.1568e-03 |  2.5514e-08 |  1.0000e+00
   178 |  2.6406e-01 |  1.4835e-03 |  3.6959e-05 |  7.3918e-05 |  4.1756e-05 |  1.0000e+00
   179 |  2.6555e-01 |  1.4835e-03 |  1.4835e-03 | -1.0564e+00 |  1.8817e-01 |  1.0000e+00
