Taylor-Green Vortex
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_g8FRco.so
[0 - 7f84910fd780] {4}{threads}: reservation ('CPU proc 1d00000000000003') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 32, 32, 32
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.196350, 0.196350, 0.196350
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization
TKE, Enstrophy = 4096, 24576
  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
    59 |  1.7507e-01 |  2.9672e-03 |  3.6872e-04 | -1.1135e-02 |  1.0000e+00 |  1.0000e+00 |  1.0032e+00
    60 |  1.7804e-01 |  2.9672e-03 |  3.6035e-06 |  9.5121e-02 |  1.0000e+00 |  1.0000e+00 |  1.0033e+00
    61 |  1.8101e-01 |  2.9672e-03 |  3.7767e-04 | -8.0212e-03 |  1.8885e-02 |  1.0000e+00 |  1.0034e+00
    62 |  1.8397e-01 |  2.9672e-03 |  0.0000e+00 |  5.0930e+00 |  1.5512e-01 |  1.0000e+00 |  1.0035e+00
    63 |  1.8694e-01 |  2.9672e-03 |  0.0000e+00 |  5.0930e+00 |  1.5499e-01 |  1.0000e+00 |  1.0037e+00
    64 |  1.8991e-01 |  2.9672e-03 |  3.6872e-04 |  7.6881e-03 | -1.6047e-01 |  1.0000e+00 |  1.0038e+00
    65 |  1.9287e-01 |  2.9672e-03 |  3.7932e-04 | -7.9347e-03 |  1.5624e+00 |  1.0000e+00 |  1.0039e+00
    66 |  1.9584e-01 |  2.9672e-03 |  3.7975e-04 |  1.1646e-02 |  1.9172e-02 |  1.0000e+00 |  1.0040e+00
    67 |  1.9881e-01 |  2.9672e-03 |  3.8096e-02 |  2.8689e-03 | -1.8420e-02 |  1.0000e+00 |  1.0041e+00
    68 |  2.0178e-01 |  2.9672e-03 |  3.8063e-04 | -7.8714e-03 |  5.1484e-03 |  1.0000e+00 |  1.0043e+00
    69 |  2.0474e-01 |  2.9672e-03 | -0.0000e+00 |  5.0930e+00 | -1.6017e-01 |  1.0000e+00 |  1.0044e+00
    70 |  2.0771e-01 |  2.9672e-03 |  3.8155e-04 | -7.8298e-03 |  4.8116e-03 |  1.0000e+00 |  1.0045e+00
    71 |  2.1068e-01 |  2.9672e-03 |  3.8201e-04 |  1.1828e-02 | -1.6004e-01 |  1.0000e+00 |  1.0046e+00
