Taylor-Green Vortex
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_KACsOo.so
[0 - 7f953cc17780] {4}{threads}: reservation ('CPU proc 1d0000000000000b') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.098175, 0.098175, 0.098175
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization
TKE, Enstrophy = 32768, 196608
  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
    90 |  1.3352e-01 |  1.4835e-03 |  2.3244e-05 | -2.7134e-03 | 2.2069e-312 |  1.0000e+00 |  1.0019e+00
    91 |  1.3500e-01 |  1.4835e-03 |  2.3228e-05 |  2.0706e-03 |  1.3369e-03 |  1.0000e+00 |  1.0019e+00
    92 |  1.3648e-01 |  1.4835e-03 |  2.3230e-05 |  2.0669e-03 | -2.7183e-04 |  1.0000e+00 |  1.0019e+00
    93 |  1.3797e-01 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  1.9702e-04 |  1.0000e+00 |  1.0020e+00
    94 |  1.3945e-01 |  1.4835e-03 | -0.0000e+00 |  1.0186e+01 | -1.9789e-04 |  1.0000e+00 |  1.0020e+00
    95 |  1.4093e-01 |  1.4835e-03 |  2.3596e-05 | -2.0955e-03 | 2.2069e-312 |  1.0000e+00 |  1.0021e+00
    96 |  1.4242e-01 |  1.4835e-03 |  0.0000e+00 |  3.3333e-01 | -6.9924e-04 |  1.0000e+00 |  1.0021e+00
    97 |  1.4390e-01 |  1.4835e-03 |  0.0000e+00 |  3.3333e-01 | -4.0396e-03 |  1.0000e+00 |  1.0022e+00
    98 |  1.4538e-01 |  1.4835e-03 |  2.3265e-05 | -2.7396e-03 | -4.4649e-04 |  1.0000e+00 |  1.0022e+00
    99 |  1.4687e-01 |  1.4835e-03 |  5.6428e-08 |  4.8518e-02 | -4.0453e-03 |  1.0000e+00 |  1.0023e+00
   100 |  1.4835e-01 |  1.4835e-03 |  9.6379e-03 |  4.7783e-04 |  5.6727e-02 |  1.0000e+00 |  1.0023e+00

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
-------|-------------|-------------|-------------|-------------|-------------|-------------|------------
   101 |  1.4983e-01 |  1.4835e-03 |  2.3251e-05 |  2.0344e-03 | -8.1025e-02 |  1.0000e+00 |  1.0023e+00
   102 |  1.5132e-01 |  1.4835e-03 |  9.6402e-03 |  4.8510e-04 | -6.0319e-04 |  1.0000e+00 |  1.0024e+00
   103 |  1.5280e-01 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  3.3266e-03 |  1.0000e+00 |  1.0024e+00
   104 |  1.5428e-01 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  1.2640e-01 |  1.0000e+00 |  1.0025e+00
   105 |  1.5577e-01 |  1.4835e-03 |  2.3700e-05 | -2.0657e-03 | 2.2069e-312 |  1.0000e+00 |  1.0025e+00
   106 |  1.5725e-01 |  1.4835e-03 |  2.3711e-05 | -2.0627e-03 | -1.3071e-04 |  1.0000e+00 |  1.0026e+00
   107 |  1.5874e-01 |  1.4835e-03 |  2.3722e-05 | -2.0598e-03 |  4.6897e-03 |  1.0000e+00 |  1.0026e+00
   108 |  1.6022e-01 |  1.4835e-03 |  2.3734e-05 | -2.0568e-03 | -1.4696e-01 |  1.0000e+00 |  1.0027e+00
   109 |  1.6170e-01 |  1.4835e-03 |  2.3296e-05 | -2.7744e-03 |  1.3248e-01 |  1.0000e+00 |  1.0027e+00
   110 |  1.6319e-01 |  1.4835e-03 |  2.3274e-05 |  2.0010e-03 | -8.0726e-05 |  1.0000e+00 |  1.0028e+00
   111 |  1.6467e-01 |  1.4835e-03 | -0.0000e+00 |  1.0186e+01 | -4.0584e-03 |  1.0000e+00 |  1.0028e+00
   112 |  1.6615e-01 |  1.4835e-03 |  9.6499e-03 |  2.8258e-04 | -4.0595e-03 |  1.0000e+00 |  1.0029e+00
   113 |  1.6764e-01 |  1.4835e-03 |  9.6511e-03 |  2.8619e-04 |  4.7212e-04 |  1.0000e+00 |  1.0029e+00
   114 |  1.6912e-01 |  1.4835e-03 |  5.6629e-08 | -4.9239e-02 |  6.5182e-02 |  1.0000e+00 |  1.0030e+00
   115 |  1.7060e-01 |  1.4835e-03 |  9.6564e-03 |  5.3224e-04 | -1.3729e-05 |  1.0000e+00 |  1.0030e+00
   116 |  1.7209e-01 |  1.4835e-03 | -0.0000e+00 |  1.0186e+01 | -4.0639e-03 |  1.0000e+00 |  1.0031e+00
   117 |  1.7357e-01 |  1.4835e-03 |  5.6555e-08 |  4.8405e-02 |  4.0581e-03 |  1.0000e+00 |  1.0032e+00
   118 |  1.7505e-01 |  1.4835e-03 |  2.3296e-05 |  1.9705e-03 |  4.7679e-03 |  1.0000e+00 |  1.0032e+00
   119 |  1.7654e-01 |  1.4835e-03 |  9.6618e-03 |  5.4709e-04 |  7.9405e-02 |  1.0000e+00 |  1.0033e+00
   120 |  1.7802e-01 |  1.4835e-03 |  2.3877e-05 | -2.0225e-03 |  1.5423e-01 |  1.0000e+00 |  1.0033e+00
   121 |  1.7950e-01 |  1.4835e-03 |  0.0000e+00 |  3.3333e-01 |  1.5914e+00 |  1.0000e+00 |  1.0034e+00
   122 |  1.8099e-01 |  1.4835e-03 |  6.0745e-08 | -4.9233e-02 | -2.0026e-04 |  1.0000e+00 |  1.0034e+00
   123 |  1.8247e-01 |  1.4835e-03 |  9.6674e-03 |  5.6197e-04 | -7.5323e-04 |  1.0000e+00 |  1.0035e+00
   124 |  1.8395e-01 |  1.4835e-03 |  0.0000e+00 |  3.3333e-01 |  7.5970e-04 |  1.0000e+00 |  1.0035e+00
